num_samples occupation_density_mean occupation_density_stderr second_moment_mean second_moment_stderr
498 0.26553060240963855 0.00016490632329685636 7520751.722891566 37261.23941963932
498 0.240661140562249 0.00017054582267429975 4760210.481927711 42112.65474047113
498 0.21709506024096384 0.00017323084207829148 2609369.3514056224 40926.835718127106
498 0.19492770682730923 0.0001745194556239248 1217264.407630522 29553.81844748995
498 0.17415857630522089 0.0001756449603396289 516219.7449799197 15855.33475280101
498 0.15490983534136543 0.00016979950429051285 236181.843373494 8225.284170216784
498 0.13715307429718876 0.000168257027108949 110377.1767068273 4182.801907859387
498 0.12097057630522089 0.00016566092735626064 56797.62248995984 1904.37430322153
498 0.1061961827309237 0.00015887278350686204 32410.0 1066.4761493077592
498 0.0928059718875502 0.00015205077910622277 18927.046184738956 638.079539169082
498 0.0807399016064257 0.00014383442475710955 11750.064257028112 341.8386987400492
