1.1 0.201481 91110
1.113 0.199407 88895
1.125 0.197333 86700
1.138 0.195556 84424
1.15 0.19437 80026
1.163 0.192296 69617
1.175 0.190519 67793
1.188 0.187556 67299
1.2 0.18637 65523
1.213 0.183111 59386
1.225 0.180444 56823
1.238 0.17837 41894
1.25 0.176296 39955
1.263 0.175407 39338
1.275 0.173333 37987
1.288 0.170667 36806
1.3 0.168593 35319
1.312 0.165926 26282
1.325 0.162667 21277
1.338 0.160296 19297
1.35 0.157333 18407
1.363 0.154667 17264
1.375 0.150815 15941
1.388 0.147556 15204
1.4 0.146074 14281
1.413 0.144296 14069
1.425 0.141333 13391
1.438 0.138963 12167
1.45 0.137778 12023
1.463 0.135111 11182
1.475 0.134222 10775
1.488 0.132148 10162
1.5 0.129481 10093
1.513 0.127407 9806
1.525 0.127111 9755
1.538 0.122963 8853
1.55 0.121185 8691
1.562 0.119704 8406
1.575 0.118222 6327
1.587 0.116444 6195
1.6 0.114963 6150
1.613 0.113481 6087
1.625 0.112296 6063
1.638 0.110815 6004
1.65 0.109333 5935
1.663 0.106963 5089
1.675 0.106074 4658
1.688 0.105185 4215
1.7 0.104 4171
1.712 0.102815 4041
1.725 0.101926 3792
1.738 0.100148 3734
1.75 0.09837 3662
1.763 0.096593 3422
1.775 0.09363 3336
1.788 0.091556 2955
1.8 0.09037 2917
