num_samples occupation_density_mean occupation_density_stderr second_moment_mean second_moment_stderr
501 0.254024628742515 0.00015321978309230596 6086930.706586827 37058.36112457007
501 0.22830483233532933 0.00015490598223079637 3515149.079840319 40373.3082618314
501 0.20399911576846308 0.00015516533419637546 1645720.502994012 33395.33539766764
501 0.1813278982035928 0.00015388160909790623 649088.5089820359 18643.09958098777
501 0.16023002794411179 0.00015459592243620974 269530.07784431137 8651.273489962698
501 0.1408568483033932 0.00014844251559247034 123876.25149700599 4256.3020359490765
501 0.12313193213572854 0.00014893526824565206 59759.70858283433 2053.631883607353
501 0.10707188023952095 0.00014386423585502911 31180.652694610777 917.1105304700077
501 0.09258868263473054 0.0001363139199974685 18088.668662674652 516.0738487210793
501 0.07956498403193613 0.00012737329765628998 10794.864271457085 261.0585138971307
501 0.0679881377245509 0.00012156075313648222 6837.996007984032 150.43539242996195
