num_samples threshold occupation_density_mean occupation_density_stderr second_moment_mean second_moment_stderr
1001 1.1 0.2328561068931069 0.000634359518448546 3456786.103896104 67893.76500611623
1001 1.113 0.23032825374625374 0.0006301733086313058 3225626.5774225774 65328.307434293485
1001 1.125 0.22803137962037962 0.0006263809729151745 3028038.4095904096 63040.80102877477
1001 1.138 0.22551443256743253 0.0006220656190990896 2826358.2547452548 60716.30005965511
1001 1.15 0.22320896503496504 0.0006187015579893439 2641057.214785215 58603.70030849473
1001 1.163 0.22074387412587412 0.0006144388961035044 2446008.4245754248 56242.21226833529
1001 1.175 0.21848796203796203 0.0006101450010800295 2272902.02997003 53977.46336649863
1001 1.188 0.21606114285714284 0.0006059432121780273 2111605.4505494507 51712.57760949401
1001 1.2 0.21383656943056942 0.0006029162858638478 1973764.044955045 49681.58370661354
1001 1.213 0.2114578011988012 0.0005978956349311382 1820279.4425574425 47093.534568772375
1001 1.225 0.20925956843156843 0.0005942167083758582 1700347.957042957 44988.29026120493
1001 1.238 0.2068815054945055 0.0005893595883370066 1573078.1878121877 42689.596793926525
1001 1.25 0.20471204795204798 0.0005854913923078584 1461994.95004995 40494.08473341761
1001 1.263 0.20237285314685313 0.0005814833445753159 1342284.6513486514 38312.19798952857
1001 1.275 0.2002522157842158 0.0005777893230281071 1251893.965034965 36618.30145453393
1001 1.288 0.19795071828171829 0.0005741905013583238 1153534.5724275724 34637.86461660239
1001 1.3 0.19585507192807192 0.0005697696645348034 1063394.073926074 32737.42830225566
1001 1.312 0.19379607192807194 0.0005661871563246125 987837.4125874126 30970.923233592446
1001 1.325 0.19156002897102897 0.0005618661498807574 912578.993006993 29205.999369984766
1001 1.338 0.18933952347652347 0.0005575450616028869 838644.6803196804 27573.021258623063
1001 1.35 0.1873246883116883 0.0005536311646127104 775670.3336663337 25725.357551773115
1001 1.363 0.1851588761238761 0.0005494794246691425 718444.2117882118 24376.021285201696
1001 1.375 0.18317064735264735 0.000545159223087075 668388.1808191808 23098.55094723162
1001 1.388 0.18103764235764236 0.000541227686528715 613424.926073926 21432.173203949944
1001 1.4 0.1790748271728272 0.0005374452480471005 570765.102897103 20229.98738187499
1001 1.413 0.17697846753246754 0.0005332118440667068 525029.3816183816 18886.10037271481
1001 1.425 0.17505534365634362 0.0005295456698022873 488530.2887112887 17938.46572998786
1001 1.438 0.17300132967032966 0.0005250512264224159 451942.7872127872 16727.858178216284
1001 1.45 0.1710883096903097 0.0005215261643410342 421003.98001998 15751.40758553968
1001 1.463 0.16905323876123873 0.0005171793814183768 389721.3236763237 14685.89882263471
1001 1.475 0.16720157842157843 0.0005136021982476187 361148.3156843157 13572.680496273553
1001 1.488 0.16521555544455543 0.0005093974373424757 337397.040959041 12895.83322027447
1001 1.5 0.16340472927072927 0.00050569863897345 312990.7812187812 12069.45495463884
1001 1.513 0.1614480779220779 0.0005013644499087921 289278.12787212786 11180.297429511003
1001 1.525 0.1596832097902098 0.0004974157598941992 269554.5754245754 10515.401409967773
1001 1.538 0.15774613286713288 0.0004927888727682547 249364.23676323675 9790.502989351115
1001 1.55 0.15599548851148853 0.0004892842355856863 233728.8011988012 9250.918434742738
1001 1.562 0.15425576423576423 0.0004854348998160298 218138.44755244756 8617.669255899415
1001 1.575 0.15238602397602397 0.00048096295950854443 204834.21678321678 8220.58140916516
1001 1.587 0.15066604395604397 0.00047704385985229507 191650.42157842158 7685.128631984224
1001 1.6 0.14885555944055945 0.00047426082547078483 178286.998001998 7188.6178356927785
1001 1.613 0.14703634565434565 0.0004696562223850402 165561.94905094904 6614.8835442919935
1001 1.625 0.14539446753246754 0.00046585180016166873 154620.66833166833 6195.3576174888185
1001 1.638 0.14361529270729273 0.0004615378919272412 144716.74025974027 5837.415322975486
1001 1.65 0.14197976523476524 0.0004581046621537209 135305.7172827173 5484.045669816655
1001 1.663 0.14023365734265736 0.0004540303038656067 126410.27072927073 5092.586773863448
1001 1.675 0.13862425874125872 0.0004505018036899022 118630.84715284716 4824.075658320178
1001 1.688 0.13690947252747251 0.0004464683156817762 111499.62337662338 4561.628385630104
1001 1.7 0.13536963136863137 0.0004429479880660835 104698.77622377622 4259.2985144900285
1001 1.712 0.1338438761238761 0.00043962395570823 99259.51048951049 4080.2696549355296
1001 1.725 0.13218769130869132 0.00043504837650624903 93014.48151848152 3827.2021677890516
1001 1.738 0.13054603896103897 0.0004311455388956096 87199.30969030969 3614.920009438113
1001 1.75 0.12905555344655348 0.0004275537153787145 82219.28671328671 3414.2609195118744
1001 1.763 0.12744945554445555 0.00042371418990529787 76057.95504495504 3038.221160520197
1001 1.775 0.12598036363636364 0.0004201057596536837 72052.62737262738 2906.229088016365
1001 1.788 0.1244027952047952 0.0004157623471792793 68055.22877122877 2745.5125515153604
1001 1.8 0.12295769030969031 0.000412318922432031 64504.51248751249 2627.177032020451
1001 1.812 0.12154382717282716 0.0004081829309238697 60540.24775224775 2376.1263070838427
1001 1.825 0.12003073726273726 0.00040435055404366483 56708.90909090909 2234.7190591657504
1001 1.837 0.11862385214785216 0.0004009016025164062 53848.205794205795 2116.4164490311355
1001 1.85 0.1171541908091908 0.00039690832388751367 50953.04795204795 2002.248399407323
1001 1.863 0.11568437262737262 0.00039256277116643263 47883.74825174825 1869.262682997093
1001 1.875 0.11433741458541459 0.000389444320252478 45849.60939060939 1806.4144847950113
1001 1.888 0.11289621378621378 0.0003859990464848475 43171.844155844155 1683.4631654113687
1001 1.9 0.11155395404595403 0.0003831796486674848 41164.78521478522 1618.3948378922669
