occupation_density_mean ratio ratio_stderr smaller_torus_sigma larger_torus_sigma
0.1 14.485289306136067 0.2065674403361147 0.12390077051627632 0.16528371508556838
0.10125 14.652141870199264 0.21080934604907606 0.12611440689202918 0.1689252401386803
0.10250000000000001 14.78890024097754 0.21443796408058508 0.12794273774739887 0.17208804809377848
0.10375000000000001 14.953848619142724 0.2175962206759706 0.1298505400443518 0.17460513309366332
0.10500000000000001 15.125833922042618 0.2206008026019755 0.13179357775710204 0.17690440065362553
0.10625000000000001 15.25096517686913 0.22299775931491242 0.13348347916428194 0.17863415532778248
0.10750000000000001 15.411653805159455 0.22664104041315342 0.13558084977552667 0.18161496186631404
0.10875000000000001 15.562058445285505 0.2300619069486227 0.13754975163287653 0.18441406360299833
0.11 15.675378515969589 0.23279286053329945 0.1389824385979358 0.18675223606866725
0.11125 15.88365641700915 0.23715003864454773 0.14115474547866133 0.1905662054456792
0.1125 16.076615122074227 0.2411922998847973 0.1431748967655274 0.19409965084950195
0.11375 16.23032951627029 0.24478270506748814 0.14473392026659157 0.19740989089815333
0.115 16.452552026482078 0.2504524589079243 0.1468575789762624 0.20287751395917772
0.11625 16.65849762975671 0.25571680544583353 0.1488291127589916 0.20794465557641442
0.11750000000000001 16.832502376770336 0.25991100385635607 0.15059959022851663 0.2118336454594067
0.11875000000000001 17.08232811610099 0.26318768180928176 0.153077872704939 0.21409091700554286
0.12000000000000001 17.31407456441485 0.2662326257516081 0.15538316523847023 0.21618483521068277
0.12125000000000001 17.49977201086286 0.26862235219355307 0.15694553981377032 0.21800473763329434
0.1225 17.76750488335721 0.2736340483563468 0.1590164904123464 0.22268665922507277
0.12375 18.015611914964303 0.2782767341233715 0.16092674871252982 0.2270253781038232
0.125 18.22010695828892 0.2822295141525384 0.1625375699715734 0.23072719173628786
0.12625 18.491491105203135 0.286178674966318 0.1648798088239799 0.2339078507610322
0.1275 18.746168216514576 0.28986094363951015 0.16707663296556494 0.2368644451252175
0.12875 18.970029135340294 0.2931214565955934 0.16906749776732385 0.23945013993610087
0.13 19.203835216761377 0.29765137436840317 0.1716303681989689 0.24318584945527907
0.13125 19.456344856773175 0.3026549417797349 0.17433583747532902 0.24740054477601783
0.1325 19.69046182273348 0.3073001784077235 0.17685464719200825 0.25130824382818995
0.13375 19.96635021488084 0.31188908538894305 0.17918270443594778 0.2552809433071164
0.135 20.317121560509808 0.3171847876732274 0.18202314213822998 0.25975712744299445
0.13625 20.643067924179537 0.3221004106133459 0.18465303858955479 0.2639165206214465
0.1375 20.934933096553838 0.32643873526741596 0.18672986920709123 0.26775773346234594
0.13875 21.301088318318047 0.33232521860034764 0.18902650821001438 0.2733295266005819
0.14 21.640834925424684 0.33777469737477706 0.19112769924017703 0.278499459191178
0.14125000000000001 21.956930519336144 0.3428340976285459 0.193056854999865 0.2833094937243375
0.14250000000000002 22.287103170350626 0.34749575544804195 0.1953896723770389 0.2873607070961491
0.14375000000000002 22.628946014281166 0.3520834719733251 0.1978885264809364 0.2912093788393412
0.14500000000000002 22.946790657864316 0.3563415584061286 0.20019845458863125 0.2947878644510864
0.14625 23.260516731231753 0.3603360495688367 0.20237238089781417 0.29814004774371583
0.14750000000000002 23.679416889718684 0.36518795555452804 0.20520859671263467 0.30207892133898917
0.14875 24.06792749140668 0.3696735474747814 0.2078134939330722 0.30573204516687225
0.15000000000000002 24.429239745466724 0.3738327276115783 0.21021395367836504 0.3091294258274723
0.15125 24.867720627567127 0.3787160852834488 0.21325247282766846 0.31296845861093575
0.1525 25.338607101844417 0.38390729198013895 0.2165699954426378 0.316989346681398
0.15375 25.776487289046685 0.38872156733985086 0.21963094872100777 0.32072839487494753
0.155 26.184713994445087 0.3931984109476658 0.22246375362663617 0.3242142327136746
0.15625 26.640226616880202 0.39845250653808734 0.22511357885205402 0.3287678156129407
0.1575 27.062690140010172 0.40329371545017767 0.22749500412959048 0.3330042702694464
0.15875 27.455741906617664 0.40777951274043206 0.22967731564253382 0.3369457844966517
0.16 27.882611291649727 0.41258130107074303 0.232107345299594 0.34110044012167756
0.16125 28.387272455205707 0.4176578963728944 0.23467625345331072 0.3454926547232935
0.1625 28.85510664407571 0.4223351957423997 0.2370058658454738 0.3495643533279793
0.16375 29.290003052838912 0.42665839161165564 0.23912673509276405 0.3533493847405425
0.165 29.795892676531924 0.4310161349202887 0.24186459441776437 0.35675821858613826
0.16625 30.33536730529185 0.43469518498685455 0.24488128566549378 0.35915603820842346
0.1675 30.836351310419055 0.4380898963830153 0.24763934570131982 0.36138277736148866
0.16875 31.302822162556804 0.4412315621087496 0.25016983029889034 0.36345611483252244
0.17 31.877742301632594 0.44509431732461063 0.2533739932148336 0.3659379330938931
