occupation_density_mean ratio ratio_stderr smaller_torus_sigma larger_torus_sigma
0.1 14.775280577304725 0.10528498435037342 0.06401936514630185 0.0835849796071211
0.10125 14.936632513718065 0.10726498032112469 0.0648988189936492 0.08540444541428055
0.10250000000000001 15.089760581965818 0.10880247096088907 0.06560724866066131 0.08679669700151765
0.10375000000000001 15.22471195051154 0.1102388388555406 0.06641361819160586 0.08798768613230744
0.10500000000000001 15.38365994186802 0.11186828014972251 0.0672743084027076 0.08937941336009197
0.10625000000000001 15.559579718872325 0.11351557855705774 0.06809826726530634 0.09082077169131769
0.10750000000000001 15.702095238040181 0.11491748882033824 0.06881630562034186 0.0920344789605519
0.10875000000000001 15.856026130507843 0.1164181092942593 0.06964046043211704 0.09329192056364177
0.11 16.022949696359586 0.11809970363426738 0.07063410478226868 0.0946486304185606
0.11125 16.18378192250991 0.11967552478071539 0.07143806900288806 0.09601475682767846
0.1125 16.369784467216476 0.12167952703550097 0.07226304488577504 0.0978976998883001
0.11375 16.560776506681016 0.12346568675335559 0.0730670107495054 0.09952380491927239
0.115 16.75195560172934 0.12510579661600574 0.07386274353974781 0.10097403361115587
0.11625 16.96832945405882 0.126538137220909 0.07475750011719196 0.10209415432612018
0.11750000000000001 17.17393644571941 0.12801507021000189 0.07561838537634692 0.10329432701724715
0.11875000000000001 17.3941703185258 0.12980224610891436 0.0765735928372221 0.10480986582816762
0.12000000000000001 17.5929141477326 0.13176322836970927 0.07761879892723454 0.10647474068295115
0.12125000000000001 17.789532054826175 0.13368514288071862 0.07857053971723854 0.10815908521978168
0.1225 18.02803344032751 0.13547716328540155 0.07962965662349916 0.10960465116902186
0.12375 18.24678186813846 0.1372544677206419 0.08059924918964609 0.11109702939026797
0.125 18.487155318745945 0.1394072913965837 0.08165374533562289 0.11299141014783931
0.12625 18.724200578084176 0.14146377083515405 0.08257799104402798 0.11486023617437593
0.1275 18.94869226759051 0.14345042395564472 0.08351837814960193 0.11663063338726368
0.12875 19.199708814167106 0.14551932833869644 0.08476183856307812 0.11828484959432474
0.13 19.443191952794127 0.1475396847771654 0.08584972593435698 0.11999076273255838
0.13125 19.718473319487632 0.14998542849006277 0.08698720434697466 0.12218369383532897
0.1325 19.97970771831036 0.15219878263552375 0.08803281984963551 0.12415591836500192
0.13375 20.254459884470315 0.15439136105230314 0.08912852826916445 0.12606664037783896
0.135 20.536288541519255 0.15665916178789904 0.0904438855894011 0.1279140200743392
0.13625 20.81025688501643 0.15885421359153196 0.09175768025568505 0.12967339468788316
0.1375 21.107733622442435 0.16131675394761744 0.09303855920872904 0.13178361660145757
0.13875 21.38864462889441 0.1636259760324518 0.09418089242614763 0.13380366039233343
0.14 21.72629969400704 0.16605611621241914 0.09540321810213573 0.13591489876871032
0.14125000000000001 22.047455669184163 0.16838328372111816 0.09655842224224266 0.13794709613034756
0.14250000000000002 22.396476895516653 0.17102028069925138 0.09783516140984809 0.14027194160757775
0.14375000000000002 22.72219657291144 0.17336886356854658 0.09907340890123272 0.14227165038664047
0.14500000000000002 23.037909646811027 0.1754891227957806 0.10032832103967333 0.14398145789299677
0.14625 23.369137965940944 0.17764753345741424 0.10154277033286101 0.14576594916725566
0.14750000000000002 23.724909960396396 0.17991298930009278 0.10276283391410052 0.14767695718980092
0.14875 24.095880557949346 0.18221663809017827 0.1040640967507884 0.14957796282985525
0.15000000000000002 24.463915245150027 0.18447154304083588 0.10536646156171861 0.15141881973463484
0.15125 24.865269025188255 0.18688977712102053 0.10675054805201974 0.15340179035114995
0.1525 25.267749337674957 0.18928329367518365 0.1081059749556047 0.1553745907264891
0.15375 25.6943368683464 0.1918379586193343 0.10960836462038213 0.15744144553604295
0.155 26.100146653584964 0.1942627721894937 0.11104714918665762 0.15939433903455708
0.15625 26.554593739971825 0.19691899032247887 0.11260503776245963 0.16154626030997923
0.1575 26.99740044375474 0.19945842844695685 0.11406802176011177 0.16362197618371585
0.15875 27.4662670876573 0.20207362515871524 0.11547279696942689 0.16583058567357975
0.16 27.901317666754228 0.20442775611882666 0.1166708091476781 0.16786491522830058
0.16125 28.405533839224013 0.2071127059468602 0.11815681346217903 0.17010185300899697
0.1625 28.890399778450178 0.20963045770673122 0.11956455598550822 0.1721895634186982
0.16375 29.424213332436604 0.2122147875189466 0.12106847764966995 0.17429153668868438
0.165 29.921668308708625 0.2144836394297011 0.12234498334997815 0.17616735404751813
0.16625 30.443529105360483 0.21654032967221254 0.12375615726815085 0.17769110251436676
0.1675 30.92438527103478 0.21818608158226008 0.12504048152169142 0.178801689525139
0.16875 31.463200143120492 0.2200561703371972 0.12650507808928707 0.18005883294383793
0.17 31.969550324841414 0.22162147691550327 0.12771741638649967 0.1811196857930314
