num_samples threshold occupation_density_mean occupation_density_stderr second_moment_mean second_moment_stderr
1 0.8 0.259259 0.0 28177752.0 0.0
1 0.9 0.233407 0.0 18337084.0 0.0
1 1.0 0.210852 0.0 8682107.0 0.0
1994 1.1 0.18221427482447344 6.104271500154716e-05 2363206.8345035105 33161.67616222422
1994 1.2 0.16124390672016048 6.052226094242809e-05 879186.6614844534 14862.460210112886
1994 1.3 0.14187609428284856 5.9687120737128865e-05 356678.3816449348 6248.126036214819
1994 1.4 0.12417291825476429 5.888790025236519e-05 161256.81995987965 2705.258391971807
1994 1.5 0.10806648495486461 5.709919332989564e-05 81001.79287863591 1195.6211563021136
1994 1.6 0.09351949849548645 5.446886037837238e-05 43849.37261785356 591.1705298153071
1994 1.7 0.08046725626880642 5.18897562037419e-05 25530.465396188567 308.2585058124182
1994 1.8 0.06883451705115347 4.911113770239894e-05 15607.165997993981 167.2740533242576
1993 1.125 0.17680687857501257 6.085710415054793e-05 1838126.3707977922 27529.396617524962
1993 1.15 0.17151637180130458 6.074828291133457e-05 1430502.160561967 22506.989093525517
1993 1.175 0.1663136969392875 6.058377113712858e-05 1121531.236327145 18461.918397141028
1993 1.225 0.15624375112895134 6.058434894279108e-05 697232.9929754139 12075.132794816835
1993 1.25 0.15135473406924232 6.04507400741801e-05 554803.0978424486 9761.805994242912
1993 1.275 0.14655871901655793 5.992426459989276e-05 443228.87556447566 7795.215066679436
1993 1.325 0.13728338233818363 5.9612959474769225e-05 286697.6557952835 4982.967026486589
1993 1.35 0.1328118881083793 5.9236551145242875e-05 234135.76367285498 3928.299643913815
1993 1.375 0.12844339538384345 5.9203987525827925e-05 193719.54440541897 3236.3013650648777
1993 1.425 0.12001562769693928 5.850558689779349e-05 135075.21976919216 2197.4331512244175
1993 1.45 0.11594214902157553 5.801480810410077e-05 113467.61916708479 1826.6094940625917
1993 1.475 0.11195779126944305 5.749360932332436e-05 95630.71450075264 1487.0073291959427
1993 1.525 0.10429640090316106 5.6486436303632906e-05 68805.99698946312 976.1689640624045
1993 1.55 0.10060950878073256 5.585762817185153e-05 59018.48569994982 824.3589325496956
1993 1.575 0.09702272654290016 5.5106280809745144e-05 50886.73657802308 705.7236721378944
1993 1.625 0.09012562719518313 5.377275532292123e-05 38200.62217762168 501.8127120198964
1993 1.65 0.08681020873055695 5.3393341054631634e-05 33498.02709483191 445.5205505608768
1993 1.675 0.08360145358755644 5.282944987657985e-05 29167.813848469643 361.91583457006783
1993 1.725 0.07742154490717512 5.139146057312814e-05 22522.481184144504 270.28336494316176
1993 1.75 0.074465763672855 5.0907649695723604e-05 19844.2804816859 230.45572028834545
1993 1.775 0.07160741344706473 4.980763956696586e-05 17610.882589061715 196.76033912419174
