num_samples threshold occupation_density_mean occupation_density_stderr second_moment_mean second_moment_stderr
1001 1.1 0.18300514785214786 0.0007439816268331672 51559.31668331668 1930.2452931516893
1001 1.113 0.18021000299700302 0.0007369849864032193 47097.51348651349 1773.2681923223518
1001 1.125 0.17762445354645354 0.0007319391908532409 43505.91408591408 1662.7325786201982
1001 1.138 0.1749492087912088 0.0007240005689313462 39605.62037962038 1552.1453868978595
1001 1.15 0.17245216583416584 0.0007171462156621199 36758.26973026973 1471.496841694193
1001 1.163 0.16978784515484513 0.0007116006056964271 33573.03796203796 1362.4195736959605
1001 1.175 0.16736803496503497 0.0007043553470227668 30930.855144855144 1259.7858595149878
1001 1.188 0.16471735164835166 0.0006973213923311761 28334.016983016983 1152.9501641331603
1001 1.2 0.162331015984016 0.0006892088593939852 26231.117882117884 1074.080421939507
1001 1.213 0.1597534185814186 0.0006825201046953082 24151.65734265734 990.9682991626966
1001 1.225 0.1574324875124875 0.0006768794047592163 22260.853146853147 906.3875387703462
1001 1.238 0.15492005194805195 0.0006705286404199258 20367.182817182817 821.6085546115654
1001 1.25 0.15261508291708292 0.0006635343602841643 18961.83916083916 771.6772758253521
1001 1.263 0.1501511878121878 0.0006558011756010125 17339.323676323675 699.0262804443652
1001 1.275 0.14789714985014987 0.0006496381399472028 16180.487512487513 654.7041930107229
1001 1.288 0.14551316183816185 0.0006426057087575783 15128.353646353646 607.068234496172
1001 1.3 0.14330085314685317 0.0006364181369267762 14075.792207792209 562.6659600585231
1001 1.312 0.14111934065934065 0.0006310407387882341 13298.773226773226 539.4712279433993
1001 1.325 0.1388173146853147 0.0006254276572787147 12300.260739260739 494.1665574897577
1001 1.338 0.13650260539460538 0.0006194812411363907 11473.10989010989 464.66737400554945
1001 1.35 0.1343871018981019 0.0006127651255581593 10688.82117882118 432.2960218786154
1001 1.363 0.13211293006993008 0.0006067999341650749 9992.606393606393 407.53415534564056
1001 1.375 0.1300575074925075 0.0006015706005881789 9449.501498501499 390.30434666131924
1001 1.388 0.1278514025974026 0.0005948116189583014 8838.62137862138 363.0452154577175
1001 1.4 0.12586405194805195 0.0005889433183851612 8314.323676323676 344.0174603520317
1001 1.413 0.12372604395604396 0.0005828271517807586 7694.030969030969 314.3516539838034
1001 1.425 0.12182130069930071 0.0005759523574249218 7263.252747252747 296.48776600944774
1001 1.438 0.1197348031968032 0.000569862615418774 6834.842157842158 279.4301972471098
1001 1.45 0.11785576523476525 0.0005637324606700564 6387.959040959041 256.2092010618441
1001 1.463 0.11578967532467532 0.0005583115695704679 5981.643356643357 243.9178080084641
1001 1.475 0.11394886913086913 0.0005519677282282653 5654.685314685315 229.5232312546799
1001 1.488 0.11194256743256742 0.0005464713777548838 5261.184815184815 210.66975822126
1001 1.5 0.11012838661338661 0.000541476448315599 4941.741258741259 196.7244811722211
1001 1.513 0.10817864335664336 0.0005349865157730505 4638.877122877123 183.41871872495003
1001 1.525 0.10637246453546453 0.0005290261255979888 4394.919080919081 174.06333884692245
1001 1.538 0.10446056543456542 0.0005230217662948261 4134.888111888112 161.68212354558878
1001 1.55 0.1027194965034965 0.0005184292350840048 3899.5914085914087 150.5875820362993
1001 1.562 0.10102963136863137 0.0005124128746955072 3696.3716283716285 141.11260907553796
1001 1.575 0.0992281848151848 0.0005053246005825852 3490.0619380619382 134.0346783294349
1001 1.587 0.09752083816183817 0.0004986216786496202 3293.2887112887115 126.28103014907994
1001 1.6 0.095777989010989 0.0004929426802300732 3131.7562437562437 118.68467305106158
1001 1.613 0.0940626863136863 0.0004869076876347821 2961.679320679321 111.55842083975622
1001 1.625 0.09250689310689311 0.0004811943094579253 2830.2107892107892 108.33362371072452
1001 1.638 0.09077025974025973 0.0004749020225798534 2661.092907092907 97.41012710135931
1001 1.65 0.08917156443556443 0.00046750613326546596 2523.965034965035 92.73407089284714
1001 1.663 0.08754623876123875 0.00046152655691271107 2393.3566433566434 87.85356560464938
1001 1.675 0.08604402697302697 0.00045728070615998564 2294.834165834166 85.41814986031999
1001 1.688 0.08445333166833167 0.00045097167415554377 2182.112887112887 82.33641872986333
1001 1.7 0.08300143656343657 0.0004450765054008204 2061.7982017982017 75.09207999157675
1001 1.712 0.08153773226773227 0.0004398315543614708 1965.6213786213787 71.65170512862879
1001 1.725 0.0800233876123876 0.0004343092440854681 1872.5924075924077 68.66788724684682
1001 1.738 0.07848891408591409 0.00042894853795686554 1764.4025974025974 64.03488729360774
1001 1.75 0.07711637962037962 0.0004245818501526398 1678.5134865134864 61.07684222661259
1001 1.763 0.07562807992007993 0.00041986997238596365 1583.4865134865136 52.485898926531625
1001 1.775 0.07432361638361638 0.0004150772385828909 1517.8551448551448 50.12371225825534
1001 1.788 0.07290132167832167 0.00041061524068861853 1447.058941058941 48.39617358941371
1001 1.8 0.07160394005994006 0.0004055362183652248 1384.996003996004 46.44648177601407
