1.1 0.183048 1253522
1.113 0.180214 1165440
1.125 0.177758 1041210
1.138 0.175083 1018971
1.15 0.173037 750133
1.163 0.170082 484304
1.175 0.168038 240216
1.188 0.164896 231336
1.2 0.16107 193576
1.213 0.158402 181733
1.225 0.156782 161196
1.238 0.154208 140894
1.25 0.151945 131394
1.263 0.149469 125358
1.275 0.147173 123201
1.288 0.145896 122012
1.3 0.143827 117619
1.312 0.142039 113469
1.325 0.139746 110491
1.338 0.136424 81434
1.35 0.135065 80677
1.363 0.13271 69239
1.375 0.131403 67769
1.388 0.128698 65688
1.4 0.125968 63584
1.413 0.124727 62046
1.425 0.122604 59457
1.438 0.12034 54191
1.45 0.118293 45466
1.463 0.116344 30212
1.475 0.114471 27666
1.488 0.112491 25277
1.5 0.11053 19628
1.513 0.108722 19095
1.525 0.107365 18452
1.538 0.105044 17367
1.55 0.103696 16669
1.562 0.101963 16173
1.575 0.100157 15142
1.587 0.098578 13794
1.6 0.096544 12746
1.613 0.094943 12279
1.625 0.09341 11984
1.638 0.091346 11263
1.65 0.089418 11053
1.663 0.087689 10608
1.675 0.085477 10305
1.688 0.083563 9615
1.7 0.081858 9196
1.712 0.080321 8918
1.725 0.078653 8431
1.738 0.077338 8208
1.75 0.076024 7848
1.763 0.073778 6631
1.775 0.073032 6497
1.788 0.071667 5829
1.8 0.070383 5450
1.812 0.069353 5280
1.825 0.067473 4658
1.837 0.06635 4468
1.85 0.065171 4321
1.863 0.063956 4153
1.875 0.063256 3970
1.888 0.06186 3754
1.9 0.061175 3681
1.913 0.059726 3607
1.925 0.05796 3436
1.938 0.056868 3189
1.95 0.055944 3082
1.962 0.0549 3004
1.975 0.053676 2968
1.988 0.052084 2879
2.0 0.050856 2785
